[137]	train-mlogloss:0.143264+0.001277	test-mlogloss:0.204981+0.005184
[138]	train-mlogloss:0.142976+0.001277	test-mlogloss:0.205091+0.005207
[139]	train-mlogloss:0.142667+0.001266	test-mlogloss:0.205162+0.005156
[140]	train-mlogloss:0.142352+0.001239	test-mlogloss:0.205119+0.005247
[141]	train-mlogloss:0.142041+0.001233	test-mlogloss:0.205121+0.005304
[142]	train-mlogloss:0.141709+0.001245	test-mlogloss:0.205177+0.005310
[143]	train-mlogloss:0.141417+0.001222	test-mlogloss:0.205238+0.005303
[144]	train-mlogloss:0.141109+0.001227	test-mlogloss:0.205209+0.005307
[145]	train-mlogloss:0.140780+0.001208	test-mlogloss:0.205225+0.005238
[146]	train-mlogloss:0.140486+0.001178	test-mlogloss:0.205248+0.005236
[147]	train-mlogloss:0.140184+0.001184	test-mlogloss:0.205358+0.005258
[148]	train-mlogloss:0.139908+0.001184	test-mlogloss:0.205395+0.005274
[149]	train-mlogloss:0.139609+0.001177	test-mlogloss:0.205439+0.005254
[150]	train-mlogloss:0.139297+0.001182	test-mlogloss:0.205501+0.005229
[151]	train-mlogloss:0.139032+0.001153	test-mlogloss:0.205566+0.005181
[152]	train-mlogloss:0.138734+0.001129	test-mlogloss:0.205605+0.005163
[153]	train-mlogloss:0.138447+0.001112	test-mlogloss:0.205613+0.005213
[154]	train-mlogloss:0.138153+0.001081	test-mlogloss:0.205675+0.005222
[155]	train-mlogloss:0.137865+0.001076	test-mlogloss:0.205683+0.005162
[156]	train-mlogloss:0.137563+0.001055	test-mlogloss:0.205661+0.005210
[157]	train-mlogloss:0.137269+0.001044	test-mlogloss:0.205629+0.005166
[158]	train-mlogloss:0.136995+0.001021	test-mlogloss:0.205684+0.005181
[159]	train-mlogloss:0.136714+0.000998	test-mlogloss:0.205657+0.005179
[160]	train-mlogloss:0.136407+0.000933	test-mlogloss:0.205725+0.005131
[161]	train-mlogloss:0.136121+0.000907	test-mlogloss:0.205862+0.005140
[162]	train-mlogloss:0.135858+0.000913	test-mlogloss:0.205940+0.005127
[163]	train-mlogloss:0.135563+0.000917	test-mlogloss:0.205926+0.005120
[164]	train-mlogloss:0.135299+0.000923	test-mlogloss:0.206025+0.005198
[165]	train-mlogloss:0.135028+0.000924	test-mlogloss:0.206106+0.005229
[166]	train-mlogloss:0.134747+0.000899	test-mlogloss:0.206154+0.005243
[167]	train-mlogloss:0.134465+0.000859	test-mlogloss:0.206234+0.005260
[168]	train-mlogloss:0.134166+0.000837	test-mlogloss:0.206287+0.005296
[169]	train-mlogloss:0.133889+0.000845	test-mlogloss:0.206294+0.005236
[170]	train-mlogloss:0.133635+0.000812	test-mlogloss:0.206347+0.005274
[171]	train-mlogloss:0.133372+0.000809	test-mlogloss:0.206402+0.005331
[172]	train-mlogloss:0.133127+0.000802	test-mlogloss:0.206389+0.005339
[173]	train-mlogloss:0.132857+0.000814	test-mlogloss:0.206468+0.005287
[174]	train-mlogloss:0.132600+0.000797	test-mlogloss:0.206482+0.005214
[175]	train-mlogloss:0.132332+0.000787	test-mlogloss:0.206526+0.005220
[176]	train-mlogloss:0.132087+0.000783	test-mlogloss:0.206512+0.005211
[177]	train-mlogloss:0.131814+0.000795	test-mlogloss:0.206544+0.005294
[178]	train-mlogloss:0.131568+0.000792	test-mlogloss:0.206601+0.005269
[179]	train-mlogloss:0.131313+0.000780	test-mlogloss:0.206620+0.005323
[180]	train-mlogloss:0.131082+0.000763	test-mlogloss:0.206634+0.005338
[181]	train-mlogloss:0.130789+0.000766	test-mlogloss:0.206625+0.005300
[182]	train-mlogloss:0.130531+0.000781	test-mlogloss:0.206691+0.005312
[183]	train-mlogloss:0.130280+0.000772	test-mlogloss:0.206745+0.005323
[184]	train-mlogloss:0.130033+0.000762	test-mlogloss:0.206770+0.005334
[185]	train-mlogloss:0.129793+0.000768	test-mlogloss:0.206834+0.005363
[186]	train-mlogloss:0.129548+0.000742	test-mlogloss:0.206835+0.005403
[187]	train-mlogloss:0.129281+0.000754	test-mlogloss:0.206747+0.005403
[188]	train-mlogloss:0.129032+0.000747	test-mlogloss:0.206750+0.005496
[189]	train-mlogloss:0.128794+0.000731	test-mlogloss:0.206787+0.005503
[190]	train-mlogloss:0.128543+0.000736	test-mlogloss:0.206868+0.005504
[191]	train-mlogloss:0.128306+0.000733	test-mlogloss:0.206876+0.005428
[192]	train-mlogloss:0.128073+0.000713	test-mlogloss:0.206914+0.005452
[193]	train-mlogloss:0.127841+0.000714	test-mlogloss:0.206974+0.005443
[194]	train-mlogloss:0.127597+0.000734	test-mlogloss:0.206991+0.005426
[195]	train-mlogloss:0.127359+0.000740	test-mlogloss:0.206962+0.005415
[196]	train-mlogloss:0.127140+0.000724	test-mlogloss:0.206992+0.005372
[197]	train-mlogloss:0.126905+0.000721	test-mlogloss:0.207063+0.005430
[198]	train-mlogloss:0.126684+0.000730	test-mlogloss:0.207120+0.005374
[199]	train-mlogloss:0.126458+0.000737	test-mlogloss:0.207120+0.005374
